EXAM_A,EXAM_B,SEQ_REQ_YN,SAME_DAY_CD,GAP_VALUE,GAP_UNIT,REV_GAP_VALUE,REV_GAP_UNIT,REASON_CD
RC060003,RX010001,N,N,3,D,,,CONTRAST
RC060004,RX010001,N,N,3,D,,,CONTRAST
RC050002,RX010001,N,N,3,D,,,CONTRAST
RC040004,RX010001,N,N,3,D,,,CONTRAST
SC030005,SC030010,N,Y,,,,,
SC030006,SC030009,N,Y,,,,,
SC030010,RC060003,Y,C,60,M,,,SEDATION
SC030009,RC060003,Y,C,60,M,,,SEDATION
SC030011,RC060003,Y,C,60,M,,,SEDATION
RM050031,RM050059,Y,C,,,,,
RM050032,RM050059,Y,C,,,,,
RM050034,RM050061,Y,C,,,,,
RM050059,RM050059,N,N,24,H,,,CONTRAST
RM050061,RM050061,N,N,24,H,,,CONTRAST
RM010013,RM010013,N,N,24,H,,,CONTRAST
RM050031,NM020003,N,Y,,,,,
RM050032,NM020003,N,Y,,,,,
RM050034,NM020003,N,Y,,,,,
RM050031,NM020004,N,N,1,D,,,
RM050059,NM020003,N,N,1,D,,,
RM050059,NM020004,N,N,1,D,,,
RC060003,NM020003,N,N,1,D,,,
RC050002,NM020003,N,N,1,D,,,
RC040004,NM020003,N,N,1,D,,,
RC060003,NM020003,N,N,3,D,,,CONTRAST
RC050002,NM020004,N,N,3,D,,,CONTRAST
RC050002,RM010029,Y,Y,,,,,FASTING
RC050003,RM010029,Y,Y,,,,,FASTING
RC060003,RC050002,Y,N,1,D,,,
RC060004,RC050002,Y,N,1,D,,,
RC060003,RF010002,N,N,2,D,7,D,CONTRAST
RC060003,RF030001,N,N,1,D,7,D,CONTRAST
SC030010,RF020001,N,N,1,D,,,BOWEL
SC030009,RF020001,N,N,1,D,,,BOWEL
RF010002,SC030010,N,N,7,D,,,CONTRAST
RF030001,SC030010,N,N,7,D,,,CONTRAST
NM010013,NM010014,N,N,2,D,,,RADIATION
NM010024,NM010013,N,N,2,D,,,RADIATION
NM010013,RC040001,N,Y,,,,,
NM010014,RC040001,N,Y,,,,,
NM010013,RC060001,N,Y,,,,,
RC050002,NM010024,N,N,2,D,1,D,CONTRAST
RM020004,RU040007,N,N,2,D,,,
SC030005,NM020003,N,N,,,,,
SC030006,NM020003,N,N,,,,,
SC030010,RU010003,N,N,,,,,
SC030009,RU010003,N,N,,,,,
SC030010,RF010002,N,N,,,,,
SC030009,RF010002,N,N,,,,,
RM010029,SC060001,N,N,,,,,
RM010029,SC010007,N,N,,,,,
NM010024,SC010002,N,N,,,,,
RC050002,SC010002,N,N,,,,,
RC050002,SC060001,N,N,,,,,
SC140014,SC030010,N,N,,,,,
SC040001,SC030005,Y,C,60,M,,,
SC040001,SC030006,Y,C,60,M,,,
SC040001,SC030010,N,N,,,,,
RU010003,SC030005,Y,C,,,,,
RU010003,SC030006,Y,C,,,,,
RU010003,SC030010,N,N,,,,,
RX030001,NM010013,Y,C,,,,,
RX020001,NM010013,Y,C,,,,,
RX020001,NM010014,Y,C,,,,,
RX020001,NM010024,Y,C,,,,,
RF040001,NM010011,N,N,2,D,,,
SC030005,SC030016,N,Y,,,,,
SC030006,SC030016,N,Y,,,,,
SC050001,SC030005,Y,C,30,M,,,
SC050001,SC030006,Y,C,30,M,,,
SC030005,SC050001,N,C,120,M,30,M,
SC030006,SC050001,N,C,120,M,30,M,
SC050002,SC030010,N,N,1,D,,,
SC050002,SC030009,N,N,1,D,,,
SC050001,RF020001,N,N,3,D,,,
SC050002,RF020001,N,N,3,D,,,
NM010011,RF040001,Y,N,2,D,,,
RU040007,RU010003,N,N,,,,,
RU010005,RU010003,N,N,,,,,
RU010005,RU010004,N,N,,,,,
SC140017,SC030010,N,N,3,D,,,
SC010004,RC040001,N,N,,,,,
SC010004,SC010007,N,N,,,,,
SC010004,SC010002,N,N,,,,,
SC070001,SC070002,Y,N,1,D,,,
RM060001,RU060001,N,C,2,D,,,
RC050002,RM070002,Y,C,,,,,FASTING
RC050003,RM070002,Y,C,,,,,FASTING
RC050004,RM070002,Y,C,,,,,FASTING
RM070002,SC060001,N,N,,,,,CARDIAC
RM070002,SC060003,N,N,,,,,CARDIAC
RC050002,SC060001,N,N,,,,,CARDIAC
RC050002,SC060002,N,N,,,,,CARDIAC
RC050003,SC060001,N,N,,,,,CARDIAC
RC050003,SC060002,N,N,,,,,CARDIAC
RC050004,SC060001,N,N,,,,,CARDIAC
RC050004,SC060002,N,N,,,,,CARDIAC
